word,shift_t1,shift_t2,shift_t3,shift_t4,shift_t5,shift_t6,shift_t7,shift_t8,shift_t9,shift_t10,shift_t11
absolutely,0.2870376110076904,0.2553991675376892,0.2515391111373901,0.2777432203292846,0.3188211321830749,0.2970502972602844,0.30504310131073,0.3086458444595337,0.2502717971801758,0.2298056483268737,0.3547871112823486
million,0.2806380987167358,0.235248327255249,0.241695761680603,0.3556061387062073,0.3076858520507812,0.286525547504425,0.3253571391105652,0.2726278901100158,0.2482736110687255,0.2444742321968078,0.2990153431892395
actual,0.3414770364761352,0.2657232284545898,0.3045259118080139,0.326374351978302,0.3439341187477112,0.3733413219451904,0.315733790397644,0.3419315218925476,0.2535194158554077,0.3108552694320678,0.3886377215385437
rich,0.2678816318511963,0.2987444400787353,0.2756648063659668,0.2355231642723083,0.2798596620559692,0.2354503870010376,0.2666444182395935,0.2694751024246216,0.2369465827941894,0.2016244530677795,0.2739633321762085
elected,0.2576854228973388,0.2023063898086547,0.2199779748916626,0.1889299154281616,0.3031878471374511,0.2766980528831482,0.2483064532279968,0.2663444280624389,0.2664645910263061,0.2501083612442016,0.2508919239044189
children,0.276990532875061,0.2440358400344848,0.2432683110237121,0.2530332207679748,0.3237924575805664,0.3065845966339111,0.2345869541168213,0.341322660446167,0.273955225944519,0.2483729124069214,0.2297372817993164
facts,0.2673686146736145,0.2059047222137451,0.2140822410583496,0.2344477176666259,0.2632166147232055,0.2621020078659057,0.2285245656967163,0.1954466700553894,0.2068485617637634,0.1978707313537597,0.2747268080711365
legal,0.2730287313461303,0.2257459163665771,0.2863532900810241,0.3186466693878174,0.2554889321327209,0.2853264808654785,0.2421638965606689,0.2534544467926025,0.2420662641525268,0.2102119922637939,0.283426821231842
fight,0.3204427361488342,0.2929995059967041,0.2885043025016784,0.3224886059761047,0.306748628616333,0.3082873821258545,0.3258460164070129,0.3209278583526611,0.2889403700828552,0.2629373669624328,0.3770900964736938
race,0.2591485977172851,0.2315537333488464,0.2538027167320251,0.2815657258033752,0.2550557851791382,0.29076087474823,0.2333378195762634,0.2839022874832153,0.2794700860977173,0.2571063041687011,0.3032504320144653
fair,0.2254572510719299,0.2298684120178222,0.2293100953102111,0.2418043613433838,0.249178409576416,0.2614400386810303,0.253436803817749,0.2262994647026062,0.2677454352378845,0.2102144956588745,0.2861497402191162
kids,0.2439125180244445,0.2234169244766235,0.2251996994018554,0.2228076457977295,0.2737346887588501,0.254578948020935,0.2669798135757446,0.2811583280563354,0.2754595279693603,0.2324707508087158,0.2612838745117187
texas,0.3591784834861755,0.2738747000694275,0.283488392829895,0.3733136653900146,0.4096105098724365,0.3935528993606567,0.3326315879821777,0.3801358938217163,0.2928141951560974,0.2484798431396484,0.3983415961265564
current,0.3282219171524048,0.2384018898010254,0.2526237964630127,0.3508538007736206,0.2897132635116577,0.344552993774414,0.3149608373641968,0.303219735622406,0.2304961681365966,0.2348477840423584,0.3819753527641296
united,0.4221189022064209,0.3339875936508178,0.3231563568115234,0.3953360915184021,0.3911768198013305,0.3760581016540527,0.4145544767379761,0.3579448461532593,0.2918444871902466,0.2983511090278625,0.4083297252655029
god,0.205201506614685,0.1998504400253296,0.2350953221321106,0.1847506761550903,0.2563074231147766,0.233180820941925,0.2279777526855468,0.2554563283920288,0.2167712450027465,0.185085654258728,0.2512396574020386
calling,0.3167165517807007,0.2357897162437439,0.2317518591880798,0.2840511798858642,0.3004416823387146,0.342908501625061,0.2989424467086792,0.3412875533103943,0.2640711069107055,0.2722792029380798,0.3638161420822143
russia,0.3089586496353149,0.2578768134117126,0.2906386256217956,0.2549165487289428,0.3666612505912781,0.301327109336853,0.2840297818183899,0.3452677130699157,0.2667163610458374,0.3839207291603088,0.2861558198928833
middle,0.2508659362792969,0.186817467212677,0.22238689661026,0.2129393219947815,0.2505865097045898,0.2275721430778503,0.2464287281036377,0.2369711399078369,0.235700249671936,0.2219225168228149,0.2475386261940002
lives,0.2056521773338318,0.176232635974884,0.177360713481903,0.2176144123077392,0.2202318906784057,0.2249751091003418,0.2137007713317871,0.234136700630188,0.2061630487442016,0.2072422504425048,0.2670648097991943
society,0.2306183576583862,0.213134765625,0.2118892669677734,0.2184481620788574,0.2881960272789001,0.2463321685791015,0.1998754739761352,0.2542515397071838,0.1985849142074585,0.2008585929870605,0.2912962436676025
reality,0.3453888893127441,0.2570469975471496,0.2776587009429931,0.3027768135070801,0.2433464527130127,0.2412779331207275,0.2849338054656982,0.2763459682464599,0.2066709995269775,0.1973199844360351,0.2725043296813965
crime,0.2747421264648437,0.2005903720855713,0.2324126958847046,0.2573138475418091,0.2597589492797851,0.2959081530570984,0.2604725360870361,0.2696979641914367,0.254270076751709,0.2326138019561767,0.2448409795761108
truth,0.317992091178894,0.2800120711326599,0.2488632202148437,0.3130167126655578,0.2730065584182739,0.2671331167221069,0.2412987351417541,0.254050612449646,0.2015785574913025,0.2304404973983764,0.3153136372566223
wing,0.3663256168365478,0.2665571570396423,0.2612108588218689,0.2631770372390747,0.4079378843307495,0.3662130832672119,0.4255437850952148,0.467547059059143,0.3286150693893432,0.3490360975265503,0.3921222686767578
abortion,0.283782958984375,0.2118947505950927,0.2764816284179687,0.2437825202941894,0.2655638456344604,0.310637354850769,0.3068982362747192,0.2507933378219604,0.2481505870819091,0.2666870355606079,0.3592950105667114
insurance,0.2044427394866943,0.1501098871231079,0.1617888212203979,0.1839067935943603,0.2413026690483093,0.1703338623046875,0.2644186615943908,0.2599914073944092,0.2684488296508789,0.2416383624076843,0.2780784964561462
donald,,,,0.3666056394577026,0.4475905895233154,0.4022063612937927,0.4373332262039184,0.4894301891326904,0.3401625156402588,0.3639981746673584,0.3023985028266907
illegal,0.3852242231369018,0.314762532711029,0.316294252872467,0.3372960090637207,0.3803375959396362,0.3410027027130127,0.2949734330177307,0.3064021468162536,0.2904928922653198,0.296316385269165,0.3900195360183716
civil,0.2913104295730591,0.2586175799369812,0.2610024213790893,0.2277899384498596,0.2721130847930908,0.2989239692687988,0.1972229480743408,0.2380974292755127,0.2322512865066528,0.1906632184982299,0.3777889609336853
choice,0.2875188589096069,0.2612457275390625,0.2908903956413269,0.2678106427192688,0.2442289590835571,0.2598351240158081,0.2569733262062073,0.2875991463661194,0.2589625716209411,0.2405928969383239,0.2902755737304687
violence,0.3058898448944092,0.2727242112159729,0.3120295405387878,0.2824217677116394,0.3436505794525146,0.3012831211090088,0.2728713154792785,0.3184032440185547,0.2991794347763061,0.2025940418243408,0.3056113719940185
administration,0.3640514612197876,0.3466814160346985,0.266290545463562,0.3402379155158996,0.3955342769622803,0.3268887996673584,0.35829758644104,0.3811010718345642,0.2558387517929077,0.2577292919158935,0.3524773120880127
disagree,0.2743090391159057,0.2113614678382873,0.218053936958313,0.235390305519104,0.2657560706138611,0.2722880244255066,0.2254070043563842,0.2714012265205383,0.2437770962715149,0.2443910241127014,0.3050707578659057
education,0.2414696216583252,0.2796716690063476,0.2727311849594116,0.233231246471405,0.3089924454689026,0.2489767670631408,0.2478730082511901,0.2700330018997192,0.213646650314331,0.1765152812004089,0.2722164392471313
economic,0.2365867495536804,0.223912239074707,0.2062128782272339,0.2377511858940124,0.2919896245002746,0.2642093896865845,0.265989601612091,0.2509418725967407,0.2403692007064819,0.2218568325042724,0.3528364896774292
constitution,0.2490752935409546,0.165802001953125,0.2231785655021667,0.2025627493858337,0.2679567337036133,0.2565057277679443,0.2374040484428405,0.2628741860389709,0.1973788738250732,0.2251763939857483,0.2595490217208862
