word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
hispanic,0.732995,0.26700503,1219,13033
audit,0.7332027,0.2667973,534,11983
prolife,0.7336428,0.26635718,965,10678
overturning,0.7343357,0.26566428,416,2654
fascism,0.7351142,0.26488578,3228,19698
invasion,0.73521376,0.26478624,828,10957
regime,0.7355851,0.2644149,1270,12599
rubio,0.73595726,0.26404274,876,20224
protesting,0.73639125,0.26360875,1306,21230
donald,0.7367429,0.2632571,9014,37249
pence,0.7374451,0.26255488,3674,17141
npr,0.73773795,0.26226205,852,7776
liberals,0.7382406,0.2617594,13604,145903
nationalism,0.7383586,0.26164138,928,6721
mexicans,0.7387594,0.2612406,663,4793
attacking,0.7388009,0.26119912,3193,23006
forcing,0.73899734,0.26100266,1899,24727
unite,0.73932445,0.26067555,887,5617
constitutionally,0.7394624,0.26053762,406,4065
interference,0.739963,0.260037,1026,9514
caucus,0.74008775,0.25991225,1567,3854
rittenhouse,0.74073786,0.25926214,185,8678
warren,0.7411387,0.2588613,5981,11334
european,0.7420422,0.25795782,1173,20243
conservatism,0.74234486,0.25765514,1662,34661
manafort,0.7449273,0.2550727,549,3690
dems,0.74534893,0.25465107,16708,113590
oppressed,0.7454438,0.25455618,621,10286
fauci,0.74545515,0.25454485,551,22009
literally,0.7455418,0.2544582,15205,206337
limbaugh,0.74575937,0.25424063,955,3042
stats,0.74604213,0.25395787,781,10732
un,0.7464237,0.25357628,940,14250
epstein,0.7475487,0.2524513,511,4987
vile,0.7480894,0.25191063,862,6118
nc,0.7487273,0.25127268,1063,6705
inauguration,0.74894714,0.25105286,641,4670
blatantly,0.7490548,0.2509452,983,11419
actual,0.74948263,0.25051737,10970,122177
protestors,0.74951327,0.25048673,596,15185
racists,0.74955857,0.25044143,2778,20871
absolutely,0.749715,0.25028503,11330,122154
chaos,0.74997413,0.25002587,1152,9245
dnc,0.75137067,0.24862933,5949,29835
justified,0.75164986,0.24835014,1104,16001
morals,0.75167155,0.24832845,980,10528
liberal,0.751961,0.248039,23152,204511
diversity,0.75196135,0.24803865,1043,19258
peaceful,0.7523174,0.24768257,1374,38461
racist,0.7525356,0.24746442,16687,198401
hypocrites,0.75349295,0.24650705,864,8485
oppose,0.7537592,0.2462408,2004,15079
antifa,0.75409085,0.24590915,1712,47078
cohen,0.7544672,0.24553281,753,2920
disaster,0.7545501,0.2454499,1983,15705
protections,0.7546129,0.24538708,1393,9697
division,0.7551184,0.24488157,1192,11617
populist,0.7554791,0.2445209,1029,5484
