word,trend,h,p,z,slope,n_obs
principles,increasing,True,0.0292725091863046,2.179797043652264,0.0090603828430175,11
african,increasing,True,0.0292725091863046,2.179797043652264,0.0083835124969482,11
protections,increasing,True,0.0292725091863046,2.179797043652264,0.0121325084141322,11
retirement,increasing,True,0.0292725091863046,2.179797043652264,0.0095094111230638,11
european,increasing,True,0.0292725091863046,2.179797043652264,0.0127475261688232,11
prolife,increasing,True,0.0292725091863046,2.179797043652264,0.0084120035171508,11
vietnam,increasing,True,0.0292725091863046,2.179797043652264,0.0095496997237205,11
wingers,increasing,True,0.0292725091863046,2.179797043652264,0.0270760133862495,11
prochoice,increasing,True,0.0292725091863046,2.179797043652264,0.0149936278661092,11
socialists,increasing,True,0.0292725091863046,2.179797043652264,0.029356837272644,11
satire,increasing,True,0.0292725091863046,2.179797043652264,0.0193575739860534,11
heritage,increasing,True,0.0292725091863046,2.179797043652264,0.0118658542633056,11
feds,increasing,True,0.0292725091863046,2.179797043652264,0.011853814125061,11
midterms,increasing,True,0.0318231273864901,2.146625258399798,0.0171681046485901,10
libertarians,increasing,True,0.0318231273864901,2.146625258399798,0.0161384840806325,10
fascists,increasing,True,0.0318231273864901,2.146625258399798,0.0336491465568542,10
elizabeth,increasing,True,0.0318231273864901,2.146625258399798,0.0184286137421925,10
losers,increasing,True,0.0318231273864901,2.146625258399798,0.0102010071277618,10
journalism,increasing,True,0.0318231273864901,2.146625258399798,0.0121450424194335,10
unbiased,increasing,True,0.0318231273864901,2.146625258399798,0.01949343085289,10
comment,increasing,True,0.042960146028425,2.02409725481996,0.0053187906742095,11
allowed,increasing,True,0.042960146028425,2.02409725481996,0.0046552121639251,11
joe,increasing,True,0.042960146028425,2.02409725481996,0.0073242485523224,11
view,increasing,True,0.042960146028425,2.02409725481996,0.0075188704899379,11
primaries,increasing,True,0.042960146028425,2.02409725481996,0.019354373216629,11
reform,increasing,True,0.042960146028425,2.02409725481996,0.0141596719622612,11
georgia,increasing,True,0.042960146028425,2.02409725481996,0.0125412940979004,11
libertarian,increasing,True,0.042960146028425,2.02409725481996,0.0078465223312377,11
birth,increasing,True,0.042960146028425,2.02409725481996,0.0080080231030781,11
wars,increasing,True,0.042960146028425,2.02409725481996,0.0038589537143707,11
governments,increasing,True,0.042960146028425,2.02409725481996,0.0053071230649948,11
army,increasing,True,0.042960146028425,2.02409725481996,0.0087277740240097,11
morally,increasing,True,0.042960146028425,2.02409725481996,0.0105052164622715,11
judicial,increasing,True,0.042960146028425,2.02409725481996,0.0082059502601623,11
patriot,increasing,True,0.042960146028425,2.02409725481996,0.0245966017246246,11
bankrupt,increasing,True,0.042960146028425,2.02409725481996,0.0101410150527954,11
activists,increasing,True,0.042960146028425,2.02409725481996,0.0138920048872629,11
harris,increasing,True,0.0476039547278714,1.9808869335422103,0.0140774697065353,9
syria,increasing,True,0.0476039547278714,1.9808869335422103,0.0113406740128994,9
leftists,increasing,True,0.0476039547278714,1.9808869335422103,0.0112105980515479,9
lunatics,increasing,True,0.0476039547278714,1.9808869335422103,0.0301625251770019,9
cuban,increasing,True,0.0476039547278714,1.9808869335422103,0.0448751300573349,9
socialized,increasing,True,0.0476039547278714,1.9808869335422103,0.0209361501038074,9
inequality,increasing,True,0.0490979816092655,1.9677398201998149,0.0130142072836558,10
ben,increasing,True,0.0490979816092655,1.9677398201998149,0.023266281400408,10
interference,increasing,True,0.0490979816092655,1.9677398201998149,0.0175851285457611,10
cia,increasing,True,0.0490979816092655,1.9677398201998149,0.0146478584834507,10
limbaugh,increasing,True,0.0490979816092655,1.9677398201998149,0.0148086667060852,10
gang,increasing,True,0.0490979816092655,1.9677398201998149,0.0234447002410888,10
oppressed,increasing,True,0.0490979816092655,1.9677398201998149,0.0206514000892639,10
journalist,increasing,True,0.0490979816092655,1.9677398201998149,0.014396207673209,10
redistribution,increasing,True,0.0490979816092655,1.9677398201998149,0.0261116623878479,10
judge,decreasing,True,0.0127313642699236,-2.491196621316873,-0.0085917860269546,11
hypocrisy,decreasing,True,0.0195174811821776,-2.335496832484569,-0.0063341259956359,11
war,decreasing,True,0.042960146028425,-2.02409725481996,-0.01254631791796,11
lawyers,decreasing,True,0.042960146028425,-2.02409725481996,-0.0120175838470458,11
boycott,decreasing,True,0.0490979816092655,-1.9677398201998149,-0.0131906509399413,10
opinion,no trend,False,0.0617066900283127,1.868397465987655,0.0090335408846537,11
lives,no trend,False,0.0617066900283127,1.868397465987655,0.0041305720806121,11
reality,no trend,False,0.0617066900283127,-1.868397465987655,-0.0074658766388893,11
countries,no trend,False,0.0617066900283127,1.868397465987655,0.0059070810675621,11
racism,no trend,False,0.0617066900283127,1.868397465987655,0.0081130862236022,11
mass,no trend,False,0.0617066900283127,-1.868397465987655,-0.0097676873207092,11
medical,no trend,False,0.0617066900283127,1.868397465987655,0.0062047243118285,11
businesses,no trend,False,0.0617066900283127,1.868397465987655,0.0046554704507191,11
assault,no trend,False,0.0617066900283127,1.868397465987655,0.0108026464780171,11
flag,no trend,False,0.0617066900283127,-1.868397465987655,-0.0063148736953735,11
nominee,no trend,False,0.0617066900283127,1.868397465987655,0.0169202089309693,11
cnn,no trend,False,0.0617066900283127,1.868397465987655,0.0119048833847046,11
minorities,no trend,False,0.0617066900283127,1.868397465987655,0.0075318046978541,11
global,no trend,False,0.0617066900283127,1.868397465987655,0.0068440735340118,11
socialism,no trend,False,0.0617066900283127,1.868397465987655,0.0128531356652577,11
payer,no trend,False,0.0617066900283127,1.868397465987655,0.0113208293914795,11
germany,no trend,False,0.0617066900283127,1.868397465987655,0.0127927422523498,11
restrictions,no trend,False,0.0617066900283127,1.868397465987655,0.0121203064918518,11
mainstream,no trend,False,0.0617066900283127,1.868397465987655,0.0117238561312357,11
bigotry,no trend,False,0.0617066900283127,1.868397465987655,0.0116662581761678,11
mandate,no trend,False,0.0617066900283127,1.868397465987655,0.0081280946731567,11
mayor,no trend,False,0.0617066900283127,1.868397465987655,0.011808054787772,11
immoral,no trend,False,0.0617066900283127,1.868397465987655,0.0180591344833374,11
midterm,no trend,False,0.0736382701203026,1.7888543819998317,0.0271404981613159,10
taxing,no trend,False,0.0736382701203026,1.7888543819998317,0.0184742808341979,10
neighborhoods,no trend,False,0.0736382701203026,1.7888543819998317,0.0099602580070495,10
impeachment,no trend,False,0.0763327403763571,-1.7723725194851356,-0.0086308717727661,9
reid,no trend,False,0.0763327403763571,1.7723725194851356,0.0298696830868721,9
stalin,no trend,False,0.0763327403763571,1.7723725194851356,0.018537075746627,9
house,no trend,False,0.0867681727038756,-1.7126976771553506,-0.0082296927769978,11
majority,no trend,False,0.0867681727038756,1.7126976771553506,0.0069950819015503,11
policy,no trend,False,0.0867681727038756,-1.7126976771553506,-0.0086163149939642,11
taxes,no trend,False,0.0867681727038756,1.7126976771553506,0.0049931009610493,11
poor,no trend,False,0.0867681727038756,1.7126976771553506,0.009181261062622,11
business,no trend,False,0.0867681727038756,1.7126976771553506,0.0045026540756225,11
