word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
foreign,0.1700402498245239,0.1693905,-0.0006497498245238986
electorate,0.220685601234436,0.21978295,-0.0009026512344360027
white,0.1991310715675354,0.1981582,-0.0009728715675353938
birth,0.1482182145118713,0.14720666,-0.001011554511871321
race,0.1566994786262512,0.15544665,-0.0012528286262512012
handouts,0.2924420833587646,0.29108226,-0.0013598233587646114
weapons,0.163846731185913,0.16234314,-0.0015035911859130058
killing,0.1913527250289917,0.18962365,-0.0017290750289916945
elections,0.1194889545440673,0.11771101,-0.0017779445440672947
legally,0.1747223734855651,0.17293704,-0.001785333485565116
terrorist,0.1854053735733032,0.18357003,-0.0018353435733031997
nra,0.2786168456077575,0.27661806,-0.001998785607757514
won,0.1343671083450317,0.13235068,-0.002016428345031712
wages,0.1296758651733398,0.12759233,-0.0020835351733397844
bigotry,0.3156372308731079,0.31338525,-0.002251980873107906
culture,0.1660882234573364,0.16361463,-0.002473593457336387
votes,0.1544497013092041,0.15185153,-0.0025981713092040892
stance,0.211424708366394,0.20875037,-0.002674338366393997
vote,0.1360186338424682,0.13334417,-0.0026744638424681944
journalist,0.2929338216781616,0.29016507,-0.002768751678161596
segregation,0.2568800449371338,0.25408095,-0.0027990949371337615
libertarian,0.2120710015296936,0.2091806,-0.002890401529693609
surprised,0.1699769496917724,0.16688037,-0.0030965796917724053
moderate,0.20622318983078,0.20297801,-0.003245179830780015
result,0.2140902280807495,0.21060407,-0.0034861580807495074
socialist,0.2355543375015258,0.23204523,-0.0035091075015258044
control,0.1415605545043945,0.1380179,-0.0035426545043945046
firearms,0.150339126586914,0.14678067,-0.003558456586914005
black,0.1663832068443298,0.16279578,-0.003587426844329805
mob,0.2885099649429321,0.28476763,-0.0037423349429320796
defense,0.1466938257217407,0.14276457,-0.003929255721740688
military,0.134116530418396,0.13017052,-0.003946010418395984
strategy,0.1819536089897155,0.17793095,-0.0040226589897154885
nixon,0.2108004689216613,0.20671344,-0.004087028921661295
bush,0.1628996133804321,0.15850616,-0.004393453380432094
outlets,0.2194451689720153,0.21500415,-0.004441018972015293
unarmed,0.2737244367599487,0.26922417,-0.00450026675994869
nuclear,0.1699320077896118,0.1654095,-0.0045225077896118016
disaster,0.2061247825622558,0.2013439,-0.0047808825622558115
drug,0.1732121706008911,0.16833329,-0.004878880600891117
wars,0.176874041557312,0.17190647,-0.004967571557312006
audit,0.2810885310173034,0.27611446,-0.004974071017303405
sanctions,0.2314189672470092,0.22639501,-0.0050239572470091864
jury,0.1981076002120971,0.19298625,-0.005121350212097114
aisle,0.2132115364074707,0.20802319,-0.005188346407470706
campaign,0.1281718015670776,0.12295246,-0.0052193415670776094
judicial,0.2315006256103515,0.22614777,-0.005352855610351509
trade,0.1707242131233215,0.16519588,-0.005528333123321516
debt,0.1097752451896667,0.10421401,-0.005561235189666711
healthcare,0.1564822196960449,0.15083796,-0.005644259696044901
federal,0.1694091558456421,0.16354227,-0.0058668858456421
antifa,0.2492517232894897,0.24291146,-0.006340263289489695
funding,0.1979686021804809,0.19154465,-0.006423952180480891
stalin,0.2722777128219604,0.26583898,-0.006438732821960391
reagan,0.2120239734649658,0.20551538,-0.006508593464965795
pope,0.3618850708007812,0.3552552,-0.006629870800781201
west,0.2397348880767822,0.23296934,-0.006765548076782202
combat,0.2834542989730835,0.27663833,-0.006815968973083508
safety,0.1579494476318359,0.15112996,-0.006819487631835902
gay,0.1629297137260437,0.15554112,-0.007388593726043696
allowed,0.1938215494155883,0.18614686,-0.007674689415588298
evil,0.2036055326461792,0.1959281,-0.007677432646179205
caucus,0.3406296968460083,0.3328309,-0.007798796846008316
poll,0.1640815734863281,0.15621984,-0.007861733486328099
forcing,0.2369419336318969,0.22875947,-0.008182463631896897
dictator,0.2469174861907959,0.23861277,-0.008304716190795897
army,0.2209469079971313,0.21262944,-0.00831746799713129
education,0.1319500207901001,0.12353307,-0.008416950790100103
incompetence,0.2788779139518738,0.27045488,-0.00842303395187377
rights,0.1513305902481079,0.14288485,-0.008445740248107902
deficit,0.1740849018096923,0.16536188,-0.00872302180969231
