word,count
epstein,511
neighborhoods,511
invade,509
christie,507
debunked,502
segregation,488
nbc,488
scalia,481
felons,477
pedophile,471
secular,462
reid,456
daca,456
rioters,454
antisemitic,451
hollywood,449
unvaccinated,440
homosexuality,438
lunatics,433
gaslighting,432
jefferson,423
overturning,416
pope,411
mandated,411
narratives,410
nfl,408
constitutionally,406
schiff,399
floyd,390
afghan,390
totalitarian,390
cuban,383
stalin,383
vaccinations,374
herd,372
ambassador,364
felon,360
rioting,357
socialized,355
equity,345
corona,345
ussr,344
arrests,341
powell,339
redistribution,333
romneys,333
asians,329
deport,324
handouts,324
celebrities,322
antiamerican,321
israeli,318
brigade,315
killings,311
catholics,310
sharia,310
assaulted,308
dementia,303
radicals,300
pedophiles,296
dominion,290
gangs,287
principled,286
racially,284
nursing,281
hysteria,275
lockdown,270
looting,268
lockdowns,233
amnesty,232
marxist,231
lefties,225
lefty,220
senile,213
farleft,204
reparations,203
hamas,199
taiwan,191
sanctuary,186
dossier,186
rittenhouse,185
neocons,185
discord,184
pedophilia,178
rogan,178
audits,173
lefts,172
mayors,172
maxine,170
pfizer,159
mobs,159
pedo,141
dysphoria,132
fisa,131
marxism,123
sjws,118
ccp,116
ilhan,110
icu,102
